gvkey,ratingdate,entity_id,entname,sectordescription,industrydescription,countrycode,ratingtypecode,currentratingsymbol,priorratingsymbol,regulatoryindicator,unsol,year,numeric_rating,lt,xint
,2000-01-19,116452,Anglian Water PLC,Corporates,Water,GBR,FCLONG,A,A,,1,2000,18,,
,2000-02-10,117001,Pacific Dunlop (USA) Inc.,Corporates,Media & Entertainment,USA,STDLONG,BBB+,A-,,1,2000,16,,
157020.0,2000-11-16,118818,Wheeling-Pittsburgh Corp.,Corporates,Metals & Mining,USA,STDLONG,D,CCC-,,1,2000,1,,
24510.0,2000-02-03,119655,Paging Network Inc.,Corporates,Telecom Services,USA,STDLONG,D,CCC,,1,2000,1,2141.2725,147.3415
29336.0,2000-04-17,119740,United Artists Theatre Circuit Inc.,Corporates,Media & Entertainment,USA,STDLONG,D,CCC,,1,2000,1,599.7666666666667,41.699999999999996
,2000-06-02,120058,MEDIQ/PRN Life Support Services Inc.,Corporates,Health Care,USA,STDLONG,D,CCC-,,1,2000,1,,
27957.0,2000-11-14,120127,Pillowtex Corp.,Corporates,Consumer Products,USA,STDLONG,D,CC,,1,2000,1,1358.2536666666667,92.60933333333332
28767.0,2000-04-03,120506,Multicare Cos. Inc. (The),Corporates,Health Care,USA,STDLONG,D,CC,,1,2000,1,,
29878.0,2000-10-11,120571,Drypers Corp.,Corporates,Consumer Products,USA,STDLONG,D,CC,,1,2000,1,273.704,18.4025
11091.0,2000-01-05,120651,Valley Resources Inc.,Corporates,Gas,USA,FCLONG,BBB+,BBB,,1,2000,16,63.83800000000001,3.0244999999999997
,2000-03-28,120765,FUJIFILM Finance Europe B.V.,Corporates,,NLD,STDLONG,AA,AA,,1,2000,21,,
121034.0,2000-01-05,121325,Premcor USA Inc.,Corporates,Energy,USA,FCLONG,BB-,BB-,,1,2000,11,1515.8,95.0
29169.0,2000-10-24,121528,Dreyfus (Louis) Natural Gas Corp.,Corporates,Energy,USA,FCLONG,BBB,BBB,,1,2000,15,820.5993333333332,40.98233333333334
8003.0,2000-12-26,126406,Northwestern Steel & Wire Co.,Corporates,Metals & Mining,USA,STDLONG,D,CC,,1,2000,1,288.11966666666666,14.231666666666667
62761.0,2000-02-16,126411,Paracelsus HealthCare Corp.,Corporates,Health Care,USA,STDLONG,SD,B+,,1,2000,2,530.107,43.75333333333333
,2000-03-17,126581,Musicland Group Inc. (The),Corporates,Retailing,USA,STDLONG,BB-,BB-,,1,2000,11,,
15845.0,2000-05-26,126674,Sophia,Corporates,Property & Real Estate,FRA,FCLONG,BBB+,BBB+,,1,2000,16,2068.82849860503,
31673.0,2000-12-04,126800,AmeriSource Health Corp.,Corporates,Health Care,USA,FCLONG,BB+,BB+,,1,2000,13,6666.699666666667,58.96333333333334
,2000-09-19,126840,SFAC New Holdings Inc.,Corporates,Consumer Products,USA,STDLONG,D,CCC,,1,2000,1,,
63874.0,2000-06-02,126841,"Stage Stores, Inc.",Corporates,Retailing,USA,STDLONG,D,B-,,1,2000,1,729.8093333333333,44.970666666666666
25991.0,2000-03-16,126931,President Casinos Inc.,Corporates,Media & Entertainment,USA,STDLONG,D,CC,,1,2000,1,160.00466666666668,19.846999999999998
13822.0,2000-06-19,126946,InaCom Corp.,Corporates,Information Technology,USA,STDLONG,D,CCC-,,1,2000,1,678.402,32.485
,2000-09-19,126954,SFC New Holdings Inc.,Corporates,Consumer Products,USA,STDLONG,D,CCC,,1,2000,1,,
100476.0,2000-12-17,127015,Incitec Ltd.,Corporates,Chemicals,AUS,STDLONG,BBB,BBB+,,1,2000,15,183.14719226833532,4.690844932615369
28448.0,2000-11-27,127068,Consoltex Inc.,Corporates,Consumer Products,CAN,STDLONG,B-,BB-,,1,2000,8,221.75431109908655,20.181813950399825
25956.0,2000-10-24,127543,HS Resources Inc.,Corporates,Energy,USA,FCLONG,BB,BB,,1,2000,12,748.535,49.169999999999995
,2000-11-27,127553,Consoltex (USA) Inc.,Corporates,Consumer Products,USA,STDLONG,B-,BB-,,1,2000,8,,
117198.0,2000-11-27,127811,Big V Supermarkets Inc.,Corporates,Retailing,USA,STDLONG,D,CC,,1,2000,1,309.0765,23.86
24849.0,2000-06-07,128561,Engle Homes Inc.,Corporates,Property & Real Estate,USA,STDLONG,B+,B+,,1,2000,10,299.0825,19.927500000000002
30400.0,2000-09-18,128763,Vastar Resources Inc.,Corporates,Energy,USA,STDLONG,AA+,BBB+,,1,2000,22,1931.4,68.8
,2000-01-19,128923,Adolf Wuerth GmbH & Co. KG,Corporates,Capital Goods,DEU,FCLONG,A,A,EU|UKE,1,2000,18,,
11271.0,2000-05-17,129118,Wallace Computer Services Inc.,Corporates,Commercial & Professional Services,USA,FCLONG,BBB,BBB,,1,2000,15,707.9513333333334,31.112666666666666
117721.0,2000-05-04,129339,LaRoche Industries Inc.,Corporates,Chemicals,USA,STDLONG,D,SD,,1,2000,1,399.854,20.83
14895.0,2000-08-23,129588,"Merisel, Inc.",Corporates,Commercial & Professional Services,USA,STDLONG,CCC-,B,,1,2000,5,555.5173333333333,14.479999999999999
5564.0,2000-08-01,129800,Heilig-Meyers Co.,Corporates,Retailing,USA,STDLONG,D,BB-,,1,2000,1,1132.7935,72.3365
16591.0,2000-02-03,130037,Hopewell Holdings Ltd.,Corporates,Capital Goods,HKG,FCLONG,BB-,BB-,,1,2000,11,1785.6261551961252,117.59867714204523
10553.0,2000-03-21,130231,3Com Corp.,Corporates,Information Technology,USA,STDLONG,BB+,BBB,,1,2000,13,1172.2563333333335,2.8473333333333333
,2000-12-15,300495,Pioneer Corp. of America,Corporates,Chemicals,USA,STDLONG,D,CCC+,,1,2000,1,,
,2000-11-01,300730,UPM-Kymmene Miramichi Inc.,Corporates,Paper & Forest Products,CAN,STDLONG,BBB+,B-,,1,2000,16,,
63547.0,2000-05-26,300776,AM General Corp.,Corporates,Automobiles & Components,USA,STDLONG,B+,B,,1,2000,10,380.17633333333333,12.814
64723.0,2000-11-30,301927,Dictaphone Corp.,Corporates,Information Technology,USA,STDLONG,D,CCC-,,1,2000,1,480.8145,39.8885
,2000-08-03,302036,Comsat Capital I,Corporates,Information Technology,USA,STDLONG,BBB-,A-,,1,2000,14,,
61263.0,2000-03-09,302140,Crown Vantage Inc.,Corporates,Paper & Forest Products,USA,STDLONG,D,CCC,,1,2000,1,811.6305,64.6265
,2000-10-13,302368,Galaxy Telecom L.P.,Corporates,Media & Entertainment,USA,STDLONG,D,CCC,,1,2000,1,,
,2000-10-13,302371,Galaxy Telecom Capital Corp.,Corporates,Media & Entertainment,USA,STDLONG,D,CCC,,1,2000,1,,
62281.0,2000-04-20,302500,Acetex Corp.,Corporates,Chemicals,CAN,FCLONG,B+,B+,,1,2000,10,251.2402318185644,18.312493844812284
,2000-04-12,302809,RBX Corp.,Corporates,Chemicals,USA,STDLONG,B-,B+,,1,2000,8,,
,2000-02-01,303048,Lenfest Communications Inc.,Corporates,Media & Entertainment,USA,STDLONG,BBB,BB+,,1,2000,15,,
,2000-05-10,303241,"Cambridge Industries, Inc.",Corporates,Automobiles & Components,USA,STDLONG,D,CCC,,1,2000,1,,
,2000-12-21,303679,Alabama Power Capital Trust I,Corporates,Electric,USA,STDLONG,A,A+,,1,2000,18,,
14956.0,2000-02-24,304451,AAF-McQuay Inc.,Corporates,Capital Goods,USA,STDLONG,B+,BB-,,1,2000,10,,
1081.0,2000-04-20,304855,Donohue Inc.,Corporates,Paper & Forest Products,CAN,STDLONG,BBB-,BBB,,1,2000,14,3610.1867820736315,168.6403842960306
