gvkey,ratingdate,entity_id,entname,sectordescription,industrydescription,countrycode,ratingtypecode,currentratingsymbol,priorratingsymbol,regulatoryindicator,unsol,year,numeric_rating,lt,xint
1224.0,2000-12-08,100023,Spire Alabama Inc.,Corporates,Gas,USA,FCLONG,A-,A-,,1,2000,17,259.3666666666667,10.152333333333333
1225.0,2000-12-21,100025,Alabama Power Co.,Corporates,Electric,USA,FCLONG,A,A,,1,2000,18,6444.090666666666,286.689
,2000-07-20,100115,Trane U.S. Inc.,Corporates,Building Materials,USA,STDLONG,BBB-,BB,,1,2000,14,,
1627.0,2000-10-02,100131,Anacomp Inc.,Corporates,Media & Entertainment,USA,STDLONG,D,CCC,,1,2000,1,462.0043333333333,38.651999999999994
1628.0,2000-04-18,100133,Anaconda Co. (The),Corporates,Metals & Mining,USA,FCLONG,AA+,AA+,,1,2000,22,,
1722.0,2000-01-20,100151,Archer Daniels Midland Co.,Corporates,Consumer Products,USA,FCLONG,A+,A+,,1,2000,19,7810.240000000001,360.94366666666673
1726.0,2000-04-18,100152,ARCO Pipeline Co.,Corporates,Energy,USA,FCLONG,AA+,AA+,,1,2000,22,,
175689.0,2000-11-27,100165,Armstrong World Industries Inc.,Corporates,Building Materials,USA,STDLONG,D,B-,,1,2000,1,,
1786.0,2000-07-28,100168,Arvin Industries Inc.,Corporates,Automobiles & Components,USA,STDLONG,BBB,BBB-,,1,2000,15,1190.4,43.5
1848.0,2000-04-18,100184,Atlantic Richfield Co.,Corporates,Energy,USA,FCLONG,AA+,AA+,,1,2000,22,17324.5,587.0
2085.0,2000-08-24,100244,Bausch & Lomb Inc.,Corporates,Health Care,USA,FCLONG,BBB-,BBB-,,1,2000,14,1947.9000000000003,85.89999999999999
2088.0,2000-10-24,100246,Bay State Gas Co.,Corporates,Gas,USA,FCLONG,BBB,BBB,,1,2000,15,552.066,18.513
2269.0,2000-11-14,100278,H&R Block Inc.,Corporates,Business and Consumer Services,USA,FCLONG,BBB+,BBB+,,1,2000,16,2758.9443333333334,155.12966666666668
,2000-11-08,100310,Brooklyn Union Gas Co. (The),Corporates,Gas,USA,FCLONG,A+,A+,,1,2000,19,,
2980.0,2000-06-22,100451,"Verizon Washington, DC Inc.",Corporates,Telecom Services,USA,FCLONG,A+,A+,,1,2000,19,704.8846666666667,18.555333333333333
3206.0,2000-10-24,100524,Columbia Energy Group,Corporates,Gas,USA,FCLONG,BBB,BBB,,1,2000,15,5195.2,165.23333333333332
31596.0,2000-10-18,100543,Commonwealth Edison Co.,Corporates,Electric,USA,FCLONG,A-,A-,,1,2000,17,17393.45033333333,555.7146666666666
31448.0,2000-11-01,100605,Cox Communications Inc.,Corporates,Telecom Services,USA,FCLONG,BBB,BBB,,1,2000,15,12587.646333333332,359.962
4740.0,2000-03-06,100851,First Union Real Estate Investments,Corporates,Property & Real Estate,USA,STDLONG,B+,BB-,,1,2000,10,422.96600000000007,38.435
184262.0,2000-12-27,100884,Sabine Oil & Gas Corp.,Corporates,Energy,USA,FCLONG,BB,BB,,1,2000,12,,
16878.0,2000-11-30,100891,Real Industry Inc.,Corporates,Metals & Mining,USA,FCLONG,CCC+,CCC+,,1,2000,7,7107.330999999999,221.45133333333334
4988.0,2000-09-08,100912,Tegna Inc.,Corporates,Media & Entertainment,USA,FCLONG,A,A,,1,2000,18,5084.4856666666665,137.92533333333333
5097.0,2000-06-22,100952,Frontier Communications Northwest Inc.,Corporates,Telecom Services,USA,FCLONG,A+,A+,,1,2000,19,1365.4666666666665,56.13333333333333
5135.0,2000-12-21,100967,Georgia Power Co.,Corporates,Electric,USA,STDLONG,A,A,,1,2000,18,8475.704333333333,297.12399999999997
61094.0,2000-10-03,101004,Grand Union Co.,Corporates,Retailing,USA,STDLONG,D,CCC,,1,2000,1,788.9200000000001,53.391
5385.0,2000-12-21,101037,Gulf Power Co.,Corporates,Electric,USA,STDLONG,A,A,,1,2000,18,867.2803333333333,32.97866666666667
5496.0,2000-07-18,101064,Enviri Corp.,Corporates,Commercial & Professional Services,USA,FCLONG,A-,A-,,1,2000,17,1151.5843333333335,32.82366666666667
5527.0,2000-01-20,101076,Verizon Hawaii Inc.,Corporates,Telecom Services,USA,FCLONG,A+,A+,,1,2000,19,970.3000000000001,38.9
5680.0,2000-11-22,101104,Home Depot Inc.,Corporates,Retailing,USA,FCLONG,AA,AA,,1,2000,21,5272.0,78.33333333333333
,2000-10-24,101186,Indianapolis Water Co.,Corporates,Water,USA,FCLONG,BBB,BBB,,1,2000,15,,
,2000-05-09,101261,Jones Intercable Inc.,Corporates,Media & Entertainment,USA,STDLONG,BBB,BBB-,,1,2000,15,,
6337.0,2000-03-29,101278,Evergy Kansas South Inc.,Corporates,Electric,USA,FCLONG,BB+,BB+,,1,2000,13,1913.4703333333334,49.49366666666666
,2000-03-29,101280,Evergy Kansas Central Inc.,Corporates,Electric,USA,FCLONG,BB+,BB+,,1,2000,13,,
6531.0,2000-12-29,101328,LTV Corp.,Corporates,Metals & Mining,USA,STDLONG,D,B,,1,2000,1,4363.0,44.0
7085.0,2000-11-30,101444,Masco Corp.,Corporates,Building Materials,USA,FCLONG,BBB+,BBB+,,1,2000,16,3418.3766666666666,132.35333333333332
7116.0,2000-02-24,101452,Mattel Inc.,Corporates,Media & Entertainment,USA,FCLONG,BBB,BBB,,1,2000,15,2838.867,138.47366666666667
7146.0,2000-08-17,101456,McCormick & Co. Inc.,Corporates,Consumer Products,USA,STDLONG,A-,A,,1,2000,17,992.6666666666666,36.333333333333336
7370.0,2000-12-01,101509,Midland Enterprises Inc.,Corporates,Transportation,USA,FCLONG,BBB,BBB,,1,2000,15,280.7526666666667,12.141666666666666
7450.0,2000-12-21,101529,Mississippi Power Co.,Corporates,Electric,USA,FCLONG,A,A,,1,2000,18,810.7626666666666,29.373333333333335
7658.0,2000-12-11,101592,NL Industries Inc.,Corporates,Commercial & Professional Services,USA,FCLONG,BB-,BB-,,1,2000,11,851.0633333333334,42.399
,2000-05-03,101678,Norfolk & Western Railway Co.,Corporates,Transportation,USA,FCLONG,BBB,BBB,,1,2000,15,,
14609.0,2000-10-24,101693,Northern Indiana Public Service Co. LLC,Corporates,Electric,USA,FCLONG,BBB,BBB,,1,2000,15,2586.2256666666667,79.15366666666667
8184.0,2000-04-26,101754,Oriole Homes Corp.,Corporates,Property & Real Estate,USA,STDLONG,CCC,CCC+,,1,2000,6,74.52433333333333,7.219
8202.0,2000-12-26,101759,Outboard Marine Corp.,Corporates,Media & Entertainment,USA,STDLONG,D,CCC,,1,2000,1,877.75,26.6
8214.0,2000-10-05,101760,Owens Corning,Corporates,Building Materials,USA,STDLONG,D,BB-,,1,2000,1,7273.0,149.0
,2000-10-20,101763,Owens-Illinois Inc.,Corporates,Containers & Packaging,USA,STDLONG,BB,BB+,,1,2000,12,,
8859.0,2000-04-11,101950,Quanex Corp.,Corporates,Metals & Mining,USA,STDLONG,BBB-,BB+,,1,2000,14,390.33033333333333,14.853666666666667
28701.0,2000-03-24,101962,Nestle Purina PetCare Co.,Corporates,Consumer Products,USA,STDLONG,BBB+,BBB+,,1,2000,16,3607.6,179.63333333333333
2006.0,2000-11-30,101971,BancTec Inc.,Corporates,Information Technology,USA,FCLONG,CCC+,CCC+,,1,2000,7,453.47433333333333,23.249
9355.0,2000-12-14,102049,Safeguard Scientifics Inc.,Corporates,Information Technology,USA,STDLONG,B-,,,1,2000,8,728.5203333333334,35.72466666666667
9432.0,2000-12-21,102073,Savannah Electric & Power Co.,Corporates,Electric,USA,STDLONG,A,A+,,1,2000,18,398.1793333333333,14.103333333333333
