gvkey,ratingdate,entity_id,entname,sectordescription,industrydescription,countrycode,ratingtypecode,currentratingsymbol,priorratingsymbol,regulatoryindicator,unsol,year,numeric_rating,lt,xint
125214.0,2000-04-11,315239,Hedstrom Corp.,Corporates,Consumer Products,USA,STDLONG,D,B,,1,2000,1,357.168,31.335
,2000-04-11,315240,Hedstrom Holdings Inc.,Corporates,Media & Entertainment,USA,STDLONG,D,B,,1,2000,1,,
,2000-11-20,315710,Highwoods Exercisable Put Options Securities Trust,Corporates,Property & Real Estate,USA,STDLONG,BBB-,BBB-,,1,2000,14,,
100696.0,2000-11-15,315759,Showa Denko KK,Corporates,Chemicals,JPN,STDLONG,B+pi,B,,1,2000,10,7570.212883556319,124.34872416155491
101750.0,2000-11-15,315760,Ube Industries Ltd.,Corporates,Chemicals,JPN,STDLONG,B+pi,B,,1,2000,10,6224.015075419855,112.17974770953079
,2000-02-02,315797,"AmeriServe Food Distribution, Inc.",Corporates,Consumer Products,USA,STDLONG,D,B,,1,2000,1,,
107542.0,2000-02-02,315798,Nebco Evans Holding Co.,Corporates,Retailing,USA,STDLONG,D,B,,1,2000,1,1957.059,90.824
,2000-01-18,316144,"Safety Components International, Inc.",Corporates,Consumer Products,USA,STDLONG,D,CC,,1,2000,1,,
24879.0,2000-04-11,316391,Gothic Energy Corp.,Corporates,Energy,USA,STDLONG,CCC,CCC,,1,2000,6,330.32050000000004,36.713
64694.0,2000-02-18,316560,Cable & Wireless Communications PLC (Old),Corporates,Telecom Services,GBR,STDLONG,A,A-,,1,2000,18,6414.036,367.992
,2000-11-13,316598,ACTEW Corp. Ltd.,Corporates,Multi,AUS,STDLONG,AA,AA+,,1,2000,21,,
29173.0,2000-10-24,317432,Ovintiv Exploration Inc.,Corporates,Energy,USA,FCLONG,BB+,BB+,,1,2000,13,405.2336666666667,16.881666666666664
28955.0,2000-06-16,317468,Flooring America Inc.,Corporates,Business and Consumer Services,USA,STDLONG,D,B-,,1,2000,1,240.056,14.68
,2000-02-17,317778,Leidos Inc.,Corporates,Aerospace & Defense,USA,STDLONG,A-,A-,,1,2000,17,,
28732.0,2000-04-25,317870,Employee Solutions Inc.,Corporates,Health Care,USA,STDLONG,D,CC,,1,2000,1,155.221,8.6975
6731.0,2000-12-22,317887,Lilly Industries Inc.,Corporates,Chemicals,USA,STDLONG,BBB,BB+,,1,2000,15,354.5825,16.355
10055.0,2000-09-12,317920,Stellex Technologies Inc.,Corporates,Aerospace & Defense,USA,STDLONG,D,SD,,1,2000,1,,
63755.0,2000-05-02,318240,"Kitty Hawk, Inc.",Corporates,Transportation,USA,STDLONG,D,CCC,,1,2000,1,783.639,43.404
11944.0,2000-03-08,318271,Tuesday Morning Corp.,Corporates,Retailing,USA,STDLONG,BB-,B+,,1,2000,11,250.8936666666667,23.29733333333333
26023.0,2000-12-15,318724,Worldtex Inc.,Corporates,Consumer Products,USA,STDLONG,D,B,,1,2000,1,256.291,19.909
,2000-06-01,318823,"Iowa Select Farms L.P./ ISF Finance, Inc.",Corporates,Consumer Products,USA,STDLONG,SD,CC,,1,2000,2,,
,2000-11-20,318828,24 Hour Fitness,Corporates,Media & Entertainment,USA,FCLONG,B,B,,1,2000,9,,
109185.0,2000-01-25,318954,"Schein Pharmaceutical, Inc.",Corporates,Health Care,USA,STDLONG,B,B,,1,2000,9,360.447,20.0435
21332.0,2000-06-05,319005,American Architectural Products Corp.,Corporates,Building Materials,USA,STDLONG,D,CCC-,,1,2000,1,198.92966666666666,16.379
,2000-09-28,319587,"Resort at Summerlin, L.P. (The)",Corporates,Hotels & Gaming,USA,STDLONG,D,CCC,,1,2000,1,,
128459.0,2000-09-28,319588,Resort at Summerlin Inc. (The),Corporates,Hotels & Gaming,USA,STDLONG,D,CCC,,1,2000,1,228.364,31.084
,2000-02-01,319791,La Quinta Co.,Corporates,Property & Real Estate,USA,FCLONG,BB-,BB-,,1,2000,11,,
,2000-08-14,319957,Prestolite Electric Inc.,Corporates,Automobiles & Components,USA,FCLONG,B-,B-,,1,2000,8,,
31007.0,2000-04-17,320004,Family Golf Centers Inc.,Corporates,Media & Entertainment,USA,STDLONG,D,CCC-,,1,2000,1,310.749,19.6315
30914.0,2000-04-04,320029,"CHS Electronics, Inc.",Corporates,Information Technology,USA,STDLONG,D,CCC,,1,2000,1,2723.634,71.373
121533.0,2000-03-21,320112,"Phase Metrics, Inc.",Corporates,Information Technology,USA,STDLONG,D,B-,,1,2000,1,149.49650000000003,14.1325
,2000-11-15,320137,Tokyu Land Corp.,Corporates,Property & Real Estate,JPN,STDLONG,B-pi,B,,1,2000,8,,
16301.0,2000-11-15,320138,Tokyo Tatemono Co. Ltd.,Corporates,Property & Real Estate,JPN,STDLONG,B+pi,B,,1,2000,10,3561.766518232395,75.96204902988423
,2000-11-21,320439,Plainwell Inc.,Corporates,Paper & Forest Products,USA,STDLONG,D,SD,,1,2000,1,,
,2000-04-24,320464,Fleetwood Capital Trust,Corporates,Property & Real Estate,USA,STDLONG,BBB+,BBB+,,1,2000,16,,
64430.0,2000-12-15,321124,Esprit Telecom Group PLC,Corporates,Telecom Services,GBR,STDLONG,D,CC,,1,2000,1,,
24707.0,2000-11-10,321195,CareMatrix Corp.,Corporates,Health Care,USA,STDLONG,D,CCC,,1,2000,1,299.1295,13.636
,2000-01-05,321423,Imperial Home Decor Group Inc. (The),Corporates,Consumer Products,USA,STDLONG,D,B-,,1,2000,1,,
24066.0,2000-09-07,321424,Shop At Home Inc.,Corporates,Retailing,USA,FCLONG,CCC+,CCC+,,1,2000,7,117.46233333333333,7.1673333333333344
,2000-04-03,321437,MMH Holdings Inc,Corporates,Capital Goods,USA,STDLONG,D,CCC,,1,2000,1,,
,2000-04-03,321438,Morris Material Handling Inc.,Corporates,Capital Goods,USA,STDLONG,D,CCC,,1,2000,1,,
12269.0,2000-11-06,321634,PharMerica Inc.,Corporates,Retailing,USA,FCLONG,B+,B+,,1,2000,10,731.49,39.133
125535.0,2000-11-01,321798,Global Health Sciences Inc.,Corporates,Consumer Products,USA,STDLONG,D,CC,,1,2000,1,299.342,30.744
126875.0,2000-02-18,321838,AP Holdings Inc.,Corporates,Business and Consumer Services,USA,STDLONG,B,B+,,1,2000,9,295.50149999999996,22.928
,2000-10-31,322140,Indesco International Inc.,Corporates,Chemicals,USA,STDLONG,D,B,,1,2000,1,,
,2000-05-01,322294,Epsilon Distribution Ministerial Holding Corp.,Corporates,Electric,AUS,STDLONG,AA,AA-,,1,2000,21,,
103106.0,2000-10-31,322299,Stena Line AB,Corporates,Transportation,SWE,STDLONG,B-,B+,,1,2000,8,965.2869520587357,61.3203326645223
128198.0,2000-04-17,322333,Silver Cinemas International Inc.,Corporates,Media & Entertainment,USA,STDLONG,D,CC,,1,2000,1,139.254,11.677
12434.0,2000-11-28,322475,"Metal Management, Inc.",Corporates,Metals & Mining,USA,FCLONG,D,CC,,1,2000,1,448.47566666666665,34.51133333333333
,2000-11-02,322513,Talon Automotive Group Inc.,Corporates,Automobiles & Components,USA,STDLONG,SD,B-,,1,2000,2,,
12467.0,2000-11-02,322586,Decora Industries Inc.,Corporates,Consumer Products,USA,STDLONG,D,CC,,1,2000,1,202.23000000000002,15.048
,2000-10-02,322631,Jafra Cosmetics International Inc.,Corporates,Consumer Products,USA,FCLONG,B+,B+,,1,2000,10,,
65711.0,2000-09-18,322851,AMF Bowling Inc.,Corporates,Media & Entertainment,USA,STDLONG,D,CCC-,,1,2000,1,1412.9583333333333,128.45733333333334
146211.0,2000-11-17,323099,"Lodestar Holdings, Inc.",Corporates,Metals & Mining,USA,FCLONG,D,CC,,1,2000,1,299.3535,21.515
,2000-11-17,323100,"Lodestar Energy, Inc.",Corporates,Energy,USA,FCLONG,D,CC,,1,2000,1,,
,2000-05-11,323255,"Steel Heddle Group, Inc.",Corporates,Capital Goods,USA,STDLONG,CCC,B,,1,2000,6,,
,2000-05-11,323256,Steel Heddle Manufacturing Co.,Corporates,Capital Goods,USA,STDLONG,CCC,B,,1,2000,6,,
148265.0,2000-06-29,323312,Key Components LLC,Corporates,Capital Goods,USA,FCLONG,B+,B+,,1,2000,10,218.7,14.143
65222.0,2000-09-28,323449,Fine Air Services Corp.,Corporates,Transportation,USA,STDLONG,D,CC,,1,2000,1,,
126778.0,2000-11-16,323509,PNV Inc.,Corporates,Telecom Services,USA,STDLONG,D,CCC+,,1,2000,1,77.72033333333333,7.370333333333334
179986.0,2000-05-16,323604,Safety-Kleen Corp.,Corporates,Commercial & Professional Services,USA,STDLONG,D,CC,,1,2000,1,,
64019.0,2000-02-02,324280,Styling Technology Corp.,Corporates,Consumer Products,USA,STDLONG,CC,D,,1,2000,4,194.19549999999998,
,2000-06-22,324700,Delta Electricity,Corporates,Electric,AUS,STDLONG,AA-,A+,,1,2000,20,,
29387.0,2000-01-26,324892,AgriBioTech Inc.,Corporates,Consumer Products,USA,STDLONG,D,CC,,1,2000,1,111.5035,7.699
,2000-12-22,324904,Generac Portable Products LLC,Corporates,Capital Goods,USA,FCLONG,B-,B-,,1,2000,8,,
,2000-12-22,324906,"Generac Portable Products, Inc.",Corporates,Capital Goods,USA,FCLONG,B-,B-,,1,2000,8,,
,2000-03-28,324911,Melbourne Water Corp.,Corporates,Water,AUS,STDLONG,AAA,AA+,,1,2000,23,,
4954.0,2000-07-18,325606,GNI Group Inc.,Corporates,Commercial & Professional Services,USA,STDLONG,D,CCC,,1,2000,1,,
29223.0,2000-02-29,325774,Tower Air Inc.,Corporates,Transportation,USA,STDLONG,D,CCC+,,1,2000,1,299.305,14.543
,2000-08-03,325810,"Globe Holdings, Inc.",Corporates,Chemicals,USA,STDLONG,D,B,,1,2000,1,,
,2000-08-03,325811,Globe Manufacturing Corp.,Corporates,Chemicals,USA,STDLONG,D,B,,1,2000,1,,
100360.0,2000-11-24,326847,Safeway PLC,Corporates,Retailing,GBR,FCLONG,BBB+,BBB+,,1,2000,16,3877.418102242009,132.97662797145497
32574.0,2000-04-10,327270,Vista Eyecare Inc.,Corporates,Retailing,USA,STDLONG,D,CC,,1,2000,1,,
102666.0,2000-01-28,328926,Wessex Water Services Ltd.,Corporates,Water,GBR,STDLONG,BBB+,BBB+,,1,2000,16,,
