gvkey,ratingdate,entity_id,entname,sectordescription,industrydescription,countrycode,ratingtypecode,currentratingsymbol,priorratingsymbol,regulatoryindicator,unsol,numeric_rating,year,countryrating,ch,wcap,ROA,ICOV,LDTC,SDTD,OM,Z_score
,2006-02-09,397556,Storebrand Bank ASA,Financial Institutions,Bank,NOR,STDLONG,BBB+,,,1,16,2006,12.5,,,,,,,,
277567.0,2006-05-10,397575,Banco Daycoval S.A.,Financial Institutions,Bank,BRA,STDLONG,B+,,,1,10,2006,13.958333333333334,4.3282048181410895,,0.047716584449990496,1.7990057875983116,0.0797129812604842,,0.7342318461751485,
,2006-02-14,397689,"IXE Banco S.A. Institucion de Banca Multiple, Grupo Financiero Banorte",Financial Institutions,Bank,MEX,CAVALLONG,mxA,,,1,18,2006,18.221757322175733,,,,,,,,
,2006-02-14,397690,"Casa de Bolsa Banorte Ixe, S.A. de C.V., Grupo Financiero Banorte y Subsidiarias",Financial Institutions,Brokerage Company,MEX,CAVALLONG,mxA,,,1,18,2006,18.221757322175733,,,,,,,,
272659.0,2006-02-14,397691,IXE Grupo Financiero S.A.B. de C.V.,Financial Institutions,Holding Company,MEX,CAVALLONG,mxA-,,,1,17,2006,18.221757322175733,144.54385452969953,,0.013094008484016026,1.2854710473198652,0.08033417104430202,,0.6357435943139749,
249018.0,2006-07-10,397718,Banque Saudi Fransi,Financial Institutions,Bank,SAU,STDLONG,A,,,1,18,2006,11.8,,,,,,,,
,2012-01-27,397742,Credit Suisse Securities (Europe) Ltd.,Financial Institutions,Brokerage Company,GBR,FCLONG,A+,,,1,19,2012,18.074074074074073,,,,,,,,
,2006-02-24,397797,CIT Bank Ltd.,Financial Institutions,Finance Company,USA,STDLONG,A,,,1,18,2006,17.41176470588235,,,,,,,,
,2006-08-24,397927,Bank VTB 24,Financial Institutions,Bank,RUS,STDLONG,BBB,,,1,15,2006,10.979020979020978,,,,,,,,
,2006-03-09,398175,Sparkasse Altenburger Land,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398176,Sparkasse Arnstadt-Ilmenau,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398177,Sparkasse Bad Hersfeld-Rotenburg,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398178,Sparkasse Battenberg,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398179,Sparkasse Bensheim,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398181,Stadtsparkasse Borken,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398182,Stadt- und Kreis-Sparkasse Darmstadt,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398183,Sparkasse Dieburg,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398185,Sparkasse Dillenburg,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398186,Kreissparkasse Eichsfeld,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398187,Stadtsparkasse Felsberg,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398189,Frankfurter Sparkasse,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398190,Sparkasse Fulda,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398191,Kreissparkasse Gelnhausen,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398192,Sparkasse Gera-Greiz,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398194,Sparkasse Giessen,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398195,Kreissparkasse Gotha,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398196,Stadtsparkasse Grebenstein,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398197,Kreissparkasse Gross-Gerau,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398198,Sparkasse Gruenberg,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398199,Sparkasse Hanau,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398200,Kreissparkasse Hildburghausen,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398201,Sparkasse Jena-Saale-Holzland,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398202,Kasseler Sparkasse,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398203,Kyffhaeusersparkasse,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398204,Sparkasse Langen-Seligenstadt,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398206,Sparkasse Laubach-Hungen,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398207,Kreissparkasse Limburg,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398208,Sparkasse Marburg-Biedenkopf,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398209,Sparkasse Mittelthueringen,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398210,Nassauische Sparkasse,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398211,Kreissparkasse Nordhausen,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398212,Sparkasse Oberhessen,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398213,Sparkasse Odenwaldkreis,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398214,Staedtische Sparkasse Offenbach am Main,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398215,Sparkasse Rhoen-Rennsteig,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398216,Kreissparkasse Saale-Orla,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398217,Kreissparkasse Saalfeld-Rudolstadt,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398219,Kreissparkasse Schluechtern,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398220,Kreissparkasse Schwalm-Eder,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398221,Stadtsparkasse Schwalmstadt,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398222,Sparkasse Sonneberg,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398223,Sparkasse Starkenburg,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398224,Taunus-Sparkasse,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398225,Sparkasse Unstrut-Hainich,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398226,Sparkasse Waldeck-Frankenberg,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398227,Wartburg-Sparkasse,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398228,Kreissparkasse Weilburg,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398229,Sparkasse Werra-Meissner,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-03-09,398230,Sparkasse Wetzlar,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2009-07-16,398460,Caisse Regionale de Credit Agricole Mutuel de Franche-Comte,Financial Institutions,Bank,FRA,STDLONG,AA-,,,1,20,2009,16.73015873015873,,,,,,,,
243175.0,2006-03-28,398849,Glitnir Bank,Financial Institutions,Bank,ISL,STDLONG,A-,,,1,17,2006,20.0,499.00203862406573,,0.01435447835861913,1.60500701573194,0.48007217452049566,,0.7505346956056499,
,2006-03-29,399090,J.G. Wentworth LLC,Financial Institutions,Finance Company,USA,STDLONG,B-,,,1,8,2006,17.41176470588235,,,,,,,,
,2006-03-30,399141,Ocean National Bank,Financial Institutions,Bank,USA,STDLONG,A-,,,1,17,2006,17.41176470588235,,,,,,,,
,2006-03-30,399143,Flagship Bank and Trust,Financial Institutions,Bank,USA,STDLONG,A-,,,1,17,2006,17.41176470588235,,,,,,,,
,2006-03-30,399144,Bank of Western Massachusetts,Financial Institutions,Bank,USA,STDLONG,A-,,,1,17,2006,17.41176470588235,,,,,,,,
,2006-03-30,399145,Maine Bank & Trust,Financial Institutions,Bank,USA,STDLONG,A-,,,1,17,2006,17.41176470588235,,,,,,,,
,2006-04-03,399160,MARAC Finance Ltd.,Financial Institutions,Finance Company,NZL,STDLONG,BBB-,,,1,14,2006,16.83108108108108,,,,,,,,
,2006-03-31,399174,Rail Leasing,Financial Institutions,Finance Company,RUS,STDLONG,CCC+,,,1,7,2006,10.979020979020978,,,,,,,,
,2013-11-19,399179,CACEIS Investor Services Bank S.A.,Financial Institutions,Bank,LUX,STDLONG,AA-,,,1,20,2013,,,,,,,,,
,2006-04-03,399188,Investment Co. Veles Capital LLC,Financial Institutions,Brokerage Company,RUS,STDLONG,CCC,,,1,6,2006,10.979020979020978,,,,,,,,
187855.0,2006-04-06,399426,Community Choice Financial,Financial Institutions,Finance Company,USA,STDLONG,B,,,1,9,2006,17.41176470588235,90.63366666666667,150.64433333333332,-0.045707316385032164,0.25787676832157486,0.8214607707048104,0.14232473469522397,0.0249278025113288,
,2011-08-09,399723,Goldman Sachs International,Financial Institutions,Brokerage Company,GBR,STDLONG,A+,,,1,19,2011,18.074074074074073,,,,,,,,
,2006-05-15,399821,Raiffeisenbank Steingaden eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399822,Raiffeisenbank suedoestl. Starnberger See eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399823,Raiffeisenbank Toelzer Land eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399824,Raiffeisenbank Unteres Inntal eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399825,Volksbank - Raiffeisenbank Vilshofen eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399826,Raiffeisenbank Mainschleife-Steigerwald eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399827,Raiffeisenbank Wegscheid eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399828,Raiffeisenbank Weiden eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399829,Raiffeisenbank Weil und Umgebung eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399830,Augusta-Bank eG Raiffeisen-Volksbank,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399831,Raiffeisenbank Weilheim eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399832,Raiffeisenbank Weissenburg-Gunzenhausen eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399833,VR SuedBank eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399834,Raiffeisenbank Westkreis Fuerstenfeldbruck eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399835,VR Bank Bamberg eG Raiffeisen-Volksbank,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399836,VR-Bank Main-Rhoen eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399837,Hallertauer Volksbank eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399838,Handels- und Gewerbebank Augsburg eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399839,VR Bank Oberfranken Mitte eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399840,VR-Bank Landsberg-Ammersee eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399841,Raiffeisen-Volksbank Hermsdorfer Kreuz eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399842,Raiffeisenbank Allersberg eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399843,Raiffeisenbank Altdorf-Ergolding eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399844,Raiffeisenbank am Dreisessel eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399845,Raiffeisenbank Goldener Steig-Dreisessel eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399846,Raiffeisenbank Arnstorf eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399847,Raiffeisen-Volksbank Aschaffenburg eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399848,Raiffeisenbank Aschau-Samerberg eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399888,Raiffeisen-Volksbank Bad Staffelstein eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399889,Raiffeisen-Volksbank Ebersberg eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399890,VR-Bank Mittelfranken Mitte eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399891,VR Bank Metropolregion Nuernberg eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399893,VR-MainBank eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399894,Raiffeisen-Volksbank Hassberge eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399895,VR-Bank Erding eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399896,VR Bank Neuburg-Rain eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399897,Raiffeisen-Volksbank Tuessling-Unterneukirchen eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399898,Raiffeisen-Volksbank Wemding eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399899,VR-Bank Vilshofen-Pocking eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399900,Rottaler Volksbank-Raiffeisenbank eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399901,"VR-Bank eG, Alzenau",Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399902,Vereinigte Raiffeisenbanken Graefenberg-Forchheim-Eschenau-Heroldsberg eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399903,Raiffeisenbank Bachgau eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399904,Raiffeisenbank Bad Windsheim eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399905,Raiffeisenbank Baisweil-Eggenthal-Friesenried eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399906,Raiffeisenbank Bissingen eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399907,Raiffeisenbank Bobingen eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399909,Raiffeisenbank Buch-Eching eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399910,Raiffeisenbank Buchloe-Kaufbeuren-Marktoberdorf eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399911,VR-Bank Donau-Mindel eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399912,Raiffeisenbank eG Deggendorf-Plattling-Sonnenwald,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399913,Raiffeisenbank Oberpfalz Sued eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399916,Raiffeisenbank Elsavatal eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399917,Raiffeisenbank Essenbach eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399918,Raiffeisenbank Estenfeld-Bergtheim eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399919,Raiffeisenbank Fuessen-Pfronten-Nesselwang eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399920,Raiffeisenbank im Donautal eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399930,Volksbank Burghausen eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399931,VR Bank Bamberg-Forchheim eG Volks- Raiffeisenbank,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399932,Volksbank Guenzburg eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399933,Volksbank Neu-Ulm eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399934,Volksbank Raiffeisenbank Nordoberpfalz eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399935,VR Bank Augsburg-Ostallgaeu eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399936,Volksbank-Raiffeisenbank Oberbayern Suedost eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399937,Volksbank-Raiffeisenbank Dachau eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399938,Volksbank-Raiffeisenbank Mangfalltal-Rosenheim eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399939,Volksbank-Raiffeisenbank Starnberg-Herrsching-Landsberg eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399940,Volksbank Raiffeisenbank Traunstein eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399942,Raiffeisenbank Geisenhausen eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399944,Raiffeisenbank Aresing-Gerolsbach eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399945,Raiffeisenbank Gilching eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399946,Raiffeisenbank Grainet eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399947,Raiffeisenbank Griesstaett-Halfing eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399949,Raiffeisenbank Haldenwang eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399950,Raiffeisenbank Hammelburg eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,399951,Raiffeisenbank Heilsbronn-Windsbach eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
149070.0,2008-07-22,399967,CME Group Inc.,Financial Institutions,Exchanges & Clearing Corporations,USA,STDLONG,AA,,,1,21,2008,17.263157894736842,808.569,,,,0.0,0.830226800650513,,
,2006-05-15,400022,Volksbank-Raiffeisenbank Wuerzburg eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,400023,Volksbank Schrobenhausen eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,400024,VR-Bank Ostbayern-Mitte eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,400025,Volksbank Vilshofen eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,400026,VR Bank Amberg-Sulzbach eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,400027,"meine Volksbank Raiffeisenbank eG, Rosenheim",Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,400028,Volksbank-Raiffeisenbank Dingolfing eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,400029,VR-Bank Burghausen-Muehldorf eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,400030,Volksbank-Raiffeisenbank Penzberg eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,400031,Raiffeisenbank im Oberpfaelzer Jura eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,400032,Raiffeisenbank Hengersberg-Schoellnach eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,400034,Raiffeisenbank Hersbruck eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,400035,Raiffeisenbank Hiltenfingen eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,400036,Raiffeisenbank Holzkirchen-Otterfing eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,400038,Raiffeisenbank Horgau eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,400039,Raiffeisenbank Schwaben Mitte eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,400040,Raiffeisenbank im Isarwinkel eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,400041,Raiffeisenbank im Naabtal eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,400042,Volksbank Raiffeisenbank Bayern Mitte eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,400043,Raiffeisenbank Kallmuenz eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,400044,Raiffeisenbank Oberpfalz NordWest eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,400045,Raiffeisenbank Ortenburg-Kirchberg v.W. eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
,2006-05-15,400046,Raiffeisenbank Wittelsbacher Land eG,Financial Institutions,Bank,DEU,STDLONG,A,,,1,18,2006,17.74074074074074,,,,,,,,
