gvkey,ratingdate,entity_id,entname,sectordescription,industrydescription,countrycode,ratingtypecode,currentratingsymbol,priorratingsymbol,regulatoryindicator,unsol,date_column,year,numeric_rating,countryrating,ch,wcap,ICOV,ROA,LDTC,SDTD,OM,Z_score,xint,lt
160785.0,2021-07-12,101020,Viad Corp.,Corporates,Commercial & Professional Services,USA,FCLONG,B,,,1,2021-07-12,2021,9,16.573033707865168,48.812333333333335,-156.71466666666666,1.9487213906593581,-0.12281312861184379,0.2139159306892823,0.5775349283401779,-0.07785361391114246,1.7162949343582483,14.034333333333334,592.166
5709.0,2001-05-31,101122,Hormel Foods Corp.,Corporates,Consumer Products,USA,STDLONG,A,,,1,2001-05-31,2001,18,21.285714285714285,164.29666666666665,410.978,16.18183191671307,0.0967184184486868,0.11004714500747322,0.42097628819517774,0.06649112222242202,5.626037857039388,14.114666666666666,785.0276666666667
,2014-08-19,101147,Aquarion Co.,Corporates,Water,USA,STDLONG,BBB,NR,,1,2014-08-19,2014,15,16.573033707865168,,,,,,,,,,
6036.0,2006-11-01,101206,Intergraph Corp.,Corporates,Information Technology,USA,STDLONG,B,,,1,2006-11-01,2006,9,19.466666666666665,236.5523333333333,331.387,48.66040589093862,0.1559021789842728,0.0006186371828473679,0.935854345961292,0.05729965535359625,6.5280068850831325,0.20233333333333334,198.83933333333334
6140.0,2000-09-08,101227,Interstate Bakeries Corp.,Corporates,Consumer Products,USA,FCLONG,BBB-,,,1,2000-09-08,2000,14,,0.0,-8.795333333333334,8.611284466757299,0.07056713697618265,0.20699720885271508,0.33740005334688633,0.06139037237030928,4.214998407227795,25.179000000000002,1040.6836666666668
6197.0,2000-01-06,101246,Ito-Yokado Co. Ltd.,Corporates,Retailing,JPN,FCLONG,AA+,,,1,2000-01-06,2000,22,,1091.2001149302732,1442.189,13.050607071002396,0.030200062941631366,0.16698267418593363,0.5701615360699153,0.06626670038055897,9.467005787702275,134.10366666666667,6764.821666666667
264167.0,2002-07-31,101248,James River Corp. Of Virginia,Corporates,Paper & Forest Products,USA,FCLONG,BBB-,NR,,1,2002-07-31,2002,14,21.285714285714285,,,,,,,,,,
6336.0,2000-09-13,101277,Kansas City Southern Railway Co.,Corporates,Transportation,USA,FCLONG,BB,,,1,2000-09-13,2000,12,,,,,,,,,,,
210701.0,2001-08-29,101309,Kimberly-Clark de Mexico S.A.B. de C.V.,Corporates,Consumer Products,MEX,CAVALLONG,mxAAA,,,1,2001-08-29,2001,23,18.34285714285714,227.93120827769462,326.666597222407,23.261735361091553,0.1459888676515112,0.13299010794449875,0.4773833217248047,0.319517779359951,11.418402714881696,23.12672521564448,777.7794820165667
6509.0,2000-04-06,101325,Kulicke & Soffa Industries Inc.,Corporates,Information Technology,USA,FCLONG,B+,,,1,2000-04-06,2000,10,,73.746,179.84400000000002,-1.6455254371817485,0.01366597249932078,0.00019461155974972953,0.9550764657661056,0.03349898470091323,7.006227963969941,0.9359999999999999,79.29766666666667
147175.0,2009-06-18,101378,Lorillard LLC,Corporates,Consumer Products,USA,STDLONG,BBB-,,,1,2009-06-18,2009,14,17.927272727272726,1091.2001149302732,689.0,14.508638829140558,0.26556979568282874,0.19558352441841223,0.7532544378698225,0.4104627425608806,8.559097578102287,94.8,2137.366666666667
7471.0,2003-09-05,101539,Mitsui & Co. Ltd.,Corporates,Capital Goods,JPN,STDLONG,BBB+,,,1,2003-09-05,2003,16,20.608695652173914,1091.2001149302732,1442.189,1.2228594857667017,0.0069174721458801795,0.39650410226794147,0.526087039784823,0.005888662329761908,4.80505444040154,579.7196666666667,45640.91766666667
,2019-01-08,101552,Montana-Dakota Utilities Co.,Corporates,Multi,USA,STDLONG,A-,NR,,1,2019-01-08,2019,17,16.573033707865168,,,,,,,,,,
