gvkey,ratingdate,entity_id,entname,sectordescription,industrydescription,countrycode,ratingtypecode,currentratingsymbol,priorratingsymbol,regulatoryindicator,unsol,date_column,year,numeric_rating,countryrating
8150.0,2007-06-26,101748,Oneida Ltd.,Corporates,Consumer Products,USA,STDLONG,B,,,N,2007-06-26,2007,9,19.058823529411764
8214.0,2006-07-13,101760,Owens Corning,Corporates,Building Materials,USA,STDLONG,D,NR,,N,2006-07-13,2006,1,19.466666666666665
65092.0,2020-06-15,101779,Pacific Gas & Electric Co.,Corporates,Electric,USA,STDLONG,BB-,NR,,N,2020-06-15,2020,11,16.573033707865168
,2003-04-23,101875,ConocoPhillips Co.,Corporates,Energy,USA,STDLONG,A-,NR,,N,2003-04-23,2003,17,21.285714285714285
8579.0,2014-04-10,101883,Pier 1 Imports Inc.,Corporates,Retailing,USA,FCLONG,B+,NR,,N,2014-04-10,2014,10,16.573033707865168
62290.0,2016-07-14,101996,Revlon Inc.,Corporates,Consumer Products,USA,FCLONG,B+,,,N,2016-07-14,2016,10,16.573033707865168
,2011-05-19,102037,US Foods Inc.,Corporates,Retailing,USA,FCLONG,B,,,N,2011-05-19,2011,9,15.727272727272727
9355.0,2000-12-14,102049,Safeguard Scientifics Inc.,Corporates,Information Technology,USA,FCLONG,B-,,,N,2000-12-14,2000,8,
9373.0,2007-09-27,102055,CRH Canada Group Inc.,Corporates,Building Materials,CAN,STDLONG,BBB+,,,N,2007-09-27,2007,16,19.921610169491526
,2004-09-30,102179,Southern States Cooperative Inc.,Corporates,Consumer Products,USA,STDLONG,B+,,,N,2004-09-30,2004,10,20.11111111111111
9963.0,2013-05-15,102200,Springs Industries Inc.,Corporates,Consumer Products,USA,STDLONG,B,,,N,2013-05-15,2013,9,16.573033707865168
10002.0,2000-03-15,102209,CalAtlantic Group Inc.,Corporates,Homebuilding,USA,FCLONG,BB,,,N,2000-03-15,2000,12,
10453.0,2002-01-17,102289,Teradyne Inc.,Corporates,Information Technology,USA,STDLONG,BB-,,,N,2002-01-17,2002,11,21.285714285714285
184954.0,2010-05-24,102354,TransUnion Intermediate Holdings Inc.,Corporates,Commercial & Professional Services,USA,STDLONG,B+,,,N,2010-05-24,2010,10,15.691176470588236
10811.0,2005-12-16,102390,UOP LLC,Corporates,Energy,USA,STDLONG,A,,,N,2005-12-16,2005,18,19.428571428571427
10884.0,2003-04-17,102420,Chiquita Brands International Inc.,Corporates,Consumer Products,USA,STDLONG,B,NR,,N,2003-04-17,2003,9,21.285714285714285
,2009-12-23,102426,United Illuminating Co. (The),Corporates,Electric,USA,STDLONG,BBB,NR,,N,2009-12-23,2009,15,17.927272727272726
14266.0,2003-04-09,102438,US Airways Inc.,Corporates,Transportation,USA,STDLONG,B,NR,,N,2003-04-09,2003,9,21.285714285714285
11162.0,2004-03-29,102496,VICORP Restaurants Inc.,Corporates,Retailing,USA,STDLONG,B+,,,N,2004-03-29,2004,10,20.11111111111111
11191.0,2001-07-10,102503,Vishay Intertechnology Inc.,Corporates,Information Technology,USA,STDLONG,BB+,,,N,2001-07-10,2001,13,21.285714285714285
11217.0,2009-01-23,102506,AB Volvo,Corporates,Capital Goods,SWE,STDLONG,A-,,,N,2009-01-23,2009,17,21.10909090909091
,2005-06-17,102845,Burger King Corp.,Corporates,Retailing,USA,STDLONG,B+,,,N,2005-06-17,2005,10,19.428571428571427
,2024-04-24,102917,Chevron U.S.A. Inc.,Corporates,Energy,USA,FCLONG,AA-,,EE|UKE,Y,2024-04-24,2024,20,16.573033707865168
,2013-07-25,103303,Flexi-Van Leasing Inc.,Corporates,Capital Goods,USA,STDLONG,BB-,,,N,2013-07-25,2013,11,16.573033707865168
,2018-07-23,103557,Koch Industries Inc.,Corporates,Capital Goods,USA,STDLONG,AA-,,,N,2018-07-23,2018,20,16.573033707865168
,2000-06-08,103766,Nestle Holdings Inc.,Corporates,Consumer Products,USA,FCLONG,AAA,,,N,2000-06-08,2000,23,
,2005-11-16,103829,Ohio Valley Electric Corp.,Corporates,Electric,USA,STDLONG,BBB-,,,N,2005-11-16,2005,14,19.428571428571427
139804.0,2006-10-06,103852,TTM Technologies Inc.,Corporates,Information Technology,USA,STDLONG,BB-,NR,,N,2006-10-06,2006,11,19.466666666666665
222111.0,2007-01-18,103887,Petroleo Brasileiro S.A. - Petrobras,Corporates,Energy,BRA,STDLONG,BBB-,,,N,2007-01-18,2007,14,14.3
,2003-09-05,104177,Sumitomo Corp. of Americas,Corporates,Capital Goods,USA,FCLONG,BBB+,,,N,2003-09-05,2003,16,21.285714285714285
6528.0,2013-08-27,105235,LSB Industries Inc.,Corporates,Chemicals,USA,FCLONG,B+,,,N,2013-08-27,2013,10,16.573033707865168
10816.0,2006-06-01,105334,USG Corp.,Corporates,Building Materials,USA,STDLONG,D,NR,,N,2006-06-01,2006,1,19.466666666666665
1382.0,2003-04-09,105341,US Airways Group Inc.,Corporates,Transportation,USA,STDLONG,B,NR,,N,2003-04-09,2003,9,21.285714285714285
3946.0,2016-05-11,105804,Diebold Nixdorf Inc.,Corporates,Information Technology,USA,STDLONG,BB-,,,N,2016-05-11,2016,11,16.573033707865168
210479.0,2001-01-24,105996,Renault S.A.,Corporates,Automobiles & Components,FRA,FCLONG,BBB,,,N,2001-01-24,2001,15,16.333333333333332
210328.0,2001-03-28,106000,Robert Bosch GmbH,Corporates,Automobiles & Components,DEU,STDLONG,AA-,,,N,2001-03-28,2001,20,
